Sample;Obscuration;Residual;Concentration;Span;D [4, 3] - Volume weighted mean;Uniformity;Specific surface area;D [3, 2] - Surface weighted mean ;d (0.1);d (0.5);d (0.9);0.02;0.02244;0.025179;0.028251;0.031698;0.035566;0.039905;0.044774;0.050238;0.056368;0.063246;0.070963;0.079621;0.089337;0.100237;0.112468;0.126191;0.141589;0.158866;0.17825;0.2;0.224404;0.251785;0.282508;0.316979;0.355656;0.399052;0.447744;0.502377;0.563677;0.632456;0.709627;0.796214;0.893367;1.002374;1.124683;1.261915;1.415892;1.588656;1.782502;2;2.244037;2.517851;2.825075;3.169786;3.556559;3.990525;4.477442;5.023773;5.636766;6.324555;7.096268;7.962143;8.933672;10.023745;11.246826;12.619147;14.158916;15.886565;17.825019;20;22.440369;25.178508;28.250751;31.697864;35.565588;39.905246;44.774423;50.237729;56.367659;63.245553;70.962678;79.621434;89.336718;100.237447;112.468265;126.191469;141.589157;158.865647;178.250188;200;224.403691;251.785082;282.507509;316.978638;355.655882;399.052463;447.744228;502.377286;563.676586;632.455532;709.626778;796.214341;893.367184;1002.374467;1124.68265;1261.914689;1415.891569;1588.656469;1782.501876;2000;Clay;Silt;Very_fine_sand;Fine_sand;Medium_sand;Coarse_sand;Very_coarse_sand;
C40;16.1;0.812;0.1443;3.143;453.76;0.974;0.0966;62.084;40.505;327.213;1068.965;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.016752;0.062262;0.067818;0.081667;0.094937;0.110446;0.126249;0.142773;0.160214;0.178103;0.197196;0.216792;0.237405;0.258419;0.279617;0.30071;0.321024;0.341066;0.360231;0.379548;0.398929;0.419176;0.440631;0.463581;0.489022;0.516964;0.549655;0.587703;0.634713;0.69329;0.767071;0.860302;0.973629;1.112135;1.269355;1.447289;1.635453;1.828678;2.018042;2.194984;2.358125;2.501307;2.631822;2.749492;2.863623;2.978933;3.1014;3.236509;3.382783;3.542986;3.70417;3.862288;4.000755;4.106606;4.163403;4.155339;4.066364;3.888694;3.609144;3.24133;2.78817;2.275714;1.751961;1.148193;0.657059;1.238417;12.870968;11.482571;16.826577;21.729491;23.98955;11.862427;
C50;25.99;1.257;0.1666;2.08;671.008;0.711;0.14;42.71;22.588;681.875;1440.74;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.013215;0.05478;0.055792;0.065028;0.073512;0.087281;0.102735;0.121422;0.142457;0.165884;0.191444;0.218893;0.248675;0.27988;0.313458;0.347762;0.383136;0.41792;0.451154;0.481709;0.508028;0.53026;0.547571;0.561159;0.571699;0.580881;0.59032;0.601738;0.617216;0.637835;0.665641;0.700539;0.743956;0.795381;0.854783;0.922454;0.996702;1.079815;1.168457;1.265484;1.367593;1.474427;1.582249;1.684942;1.776911;1.845164;1.879141;1.863882;1.787171;1.642398;1.435596;1.185782;0.937703;0.742647;0.67806;0.809095;1.188873;1.843115;2.749501;3.818172;4.951223;5.955571;6.697584;7.024743;6.863934;6.197378;5.165242;3.575048;2.1208;2.134456;15.756116;9.151606;10.453352;5.54216;26.015166;30.947145;
D5;25.32;2.195;0.2962;1.775;755.752;0.518;0.0776;77.289;66.808;753.382;1403.884;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.016728;0.061066;0.064235;0.076175;0.087101;0.101333;0.116208;0.132452;0.150152;0.168652;0.188495;0.208604;0.229104;0.248951;0.267538;0.284197;0.298114;0.309465;0.31799;0.324501;0.329541;0.334027;0.338666;0.344014;0.350546;0.358159;0.367097;0.377049;0.388585;0.402431;0.42026;0.444682;0.478126;0.524985;0.585677;0.662891;0.752783;0.850982;0.948078;1.031739;1.090139;1.109168;1.080946;1.005179;0.889539;0.758553;0.650324;0.614779;0.707752;0.991889;1.496063;2.249044;3.213033;4.333283;5.502752;6.580199;7.452241;7.973097;8.079357;7.74789;7.002024;5.923118;4.681521;3.121424;1.805307;1.162597;8.532309;5.336612;5.493709;9.27256;39.920929;30.281284;
D15;24.29;0.452;0.1699;3.275;402.883;1.04;0.128;46.905;31.726;281.452;953.548;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.013426;0.055037;0.054539;0.062749;0.069667;0.082191;0.095938;0.112213;0.129705;0.147896;0.166105;0.183815;0.201139;0.217661;0.234204;0.250505;0.267468;0.285121;0.303831;0.323903;0.345123;0.368283;0.392607;0.41896;0.446472;0.475349;0.505211;0.53582;0.568198;0.602556;0.64223;0.688744;0.747334;0.821794;0.916798;1.037414;1.183609;1.360565;1.558184;1.776425;1.998849;2.214669;2.408051;2.564795;2.678558;2.74427;2.77077;2.770713;2.764421;2.775622;2.825908;2.932433;3.098837;3.325116;3.581248;3.843907;4.067821;4.215808;4.253098;4.161435;3.932426;3.58652;3.138845;2.641403;2.120832;1.619314;1.173651;0.734796;0.407098;1.826285;15.046079;13.641347;16.651704;20.849362;23.288132;8.697094;
E0;21.57;0.658;0.1752;2.562;579.054;0.843;0.11;54.767;29.321;501.006;1312.756;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.032556;0.059925;0.064474;0.076201;0.089287;0.104121;0.119819;0.136714;0.15449;0.173578;0.193604;0.215449;0.23839;0.263067;0.288818;0.315474;0.342835;0.370206;0.398497;0.427048;0.457566;0.490101;0.526123;0.566309;0.611005;0.661521;0.716415;0.777489;0.842176;0.911891;0.985262;1.062532;1.144472;1.229581;1.320396;1.412282;1.506067;1.595125;1.674996;1.738563;1.779427;1.793476;1.778994;1.737778;1.677258;1.606294;1.540863;1.500617;1.509562;1.591643;1.773921;2.062497;2.467024;2.963842;3.525671;4.104103;4.637568;5.079056;5.361263;5.447031;5.304668;4.913972;4.280863;3.48586;2.380666;1.401661;1.420218;16.359456;10.087654;9.841804;12.368489;28.154692;21.76769;
E5;17.49;1.704;0.1253;2.166;658.768;0.7;0.121;49.643;22.607;634.941;1397.761;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.03454;0.06398;0.069354;0.082828;0.098113;0.115651;0.134744;0.15574;0.178399;0.203319;0.230013;0.259627;0.291112;0.325246;0.361002;0.398006;0.435797;0.47317;0.511021;0.548058;0.586034;0.624494;0.664705;0.706886;0.750886;0.797263;0.843838;0.890974;0.935318;0.976366;1.011753;1.040669;1.062915;1.078711;1.089881;1.097613;1.1035;1.107728;1.109346;1.106177;1.095955;1.076456;1.048083;1.012102;0.974816;0.943666;0.931843;0.955757;1.036162;1.191022;1.445779;1.801729;2.272674;2.839262;3.486075;4.178912;4.866437;5.510071;6.025618;6.351878;6.403353;6.114188;5.450276;4.504743;3.099322;1.829046;1.626308;17.501718;6.599162;5.866267;10.586628;30.418991;27.400928;
E10;19.76;2.556;0.3224;1.295;987.727;0.338;0.0545;110.085;82.415;1101.079;1508.446;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.035302;0.059756;0.065141;0.075733;0.087101;0.099903;0.113128;0.127901;0.143444;0.160141;0.177422;0.194971;0.212363;0.228769;0.244252;0.258019;0.270585;0.281871;0.292657;0.303655;0.315721;0.330107;0.347184;0.368031;0.391846;0.418581;0.446472;0.473945;0.499497;0.521436;0.540321;0.556884;0.574772;0.597911;0.631705;0.680435;0.745244;0.825453;0.910196;0.986589;1.031177;1.0207;0.929417;0.756131;0.483248;0.169596;0.010379;0;0.000048;0;0.036091;0.126417;1.028072;2.668563;5.596587;10.298312;14.089506;16.121124;14.585967;10.568941;4.387467;1.497825;0.663965;7.978174;4.05552;5.63421;0.663271;19.754042;61.25083;
B45;21.74;0.558;0.0711;5.921;325.691;1.8;0.263;22.812;11.161;149.758;897.921;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.025194;0.055649;0.056716;0.063922;0.070633;0.080608;0.092056;0.106783;0.124975;0.146458;0.171798;0.199726;0.23072;0.263332;0.297734;0.33337;0.369898;0.407843;0.446077;0.485846;0.525376;0.565385;0.604395;0.641858;0.677167;0.709321;0.739398;0.766962;0.794183;0.821826;0.852089;0.886698;0.927342;0.977033;1.036368;1.109629;1.196037;1.299389;1.418844;1.554347;1.705616;1.866673;2.038373;2.208418;2.375744;2.527251;2.655927;2.75186;2.807364;2.818052;2.782689;2.702749;2.587697;2.446349;2.29723;2.16145;2.062231;2.024485;2.06666;2.193442;2.399522;2.655119;2.919617;3.137887;3.255999;3.234162;3.057035;2.732612;2.311738;1.838328;1.373184;0.966018;0.587585;0.317948;4.029338;25.922727;15.936198;14.978164;13.401459;18.337312;7.394801;
E20;19.36;1.261;0.1141;2.148;586.459;0.716;0.146;41.114;23.25;577.507;1264.005;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.030349;0.058839;0.058694;0.064289;0.070705;0.080924;0.093219;0.108517;0.126511;0.146082;0.166992;0.188558;0.210382;0.232732;0.255073;0.278423;0.302166;0.327243;0.353282;0.380402;0.408633;0.437347;0.467391;0.497708;0.529485;0.5619;0.595484;0.629961;0.664991;0.701196;0.737645;0.776028;0.815632;0.858722;0.906257;0.960489;1.024467;1.099537;1.190693;1.295378;1.415931;1.544608;1.673958;1.789788;1.874831;1.911798;1.882767;1.774967;1.590321;1.337083;1.049294;0.77734;0.584853;0.54627;0.732599;1.179661;1.904591;2.848964;3.923679;4.98278;5.860041;6.432094;6.594579;6.34558;5.758766;4.925672;3.96872;3.017071;1.961137;1.117934;2.170289;16.522037;10.210914;8.411772;7.796938;34.138753;20.7493;
E30;17.86;0.33;0.0925;4.606;363.559;1.41;0.166;36.194;19.167;202.653;952.631;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.02797;0.054477;0.05474;0.06089;0.068381;0.079919;0.094135;0.111647;0.132205;0.154509;0.178263;0.202671;0.227252;0.25231;0.277301;0.303485;0.330367;0.359284;0.390113;0.423281;0.459101;0.496907;0.537802;0.580142;0.625221;0.671448;0.719225;0.767999;0.817395;0.868767;0.921651;0.979705;1.043185;1.116884;1.202974;1.304586;1.424887;1.562112;1.719691;1.888117;2.06766;2.24578;2.415748;2.567294;2.691383;2.78444;2.841818;2.867186;2.864177;2.840483;2.806025;2.772328;2.751259;2.753945;2.788516;2.854971;2.950161;3.060174;3.167294;3.247031;3.272645;3.218852;3.070666;2.819282;2.487386;2.092126;1.669151;1.260703;0.816204;0.464313;2.280155;21.210844;14.772305;16.992017;17.159026;18.79577;8.789883;
