"plot","lon","lat","site"
"AG30",18.54801736,-31.2662362,"site3"
"AG25",18.5480494,-31.2662719,"site3"
"AG20",18.54808144,-31.2663076,"site3"
"AG15",18.54811348,-31.2663433,"site3"
"AG10",18.54814552,-31.266379,"site3"
"AG5",18.54817756,-31.2664147,"site3"
"AG0",18.5482096,-31.2664504,"site3"
"AH50",18.5478484,-31.2661213,"site3"
"AH45",18.54788043,-31.26615695,"site3"
"AH40",18.54791246,-31.2661926,"site3"
"AH35",18.54794449,-31.26622825,"site3"
"AH30",18.54797652,-31.2662639,"site3"
"AH25",18.54800855,-31.26629955,"site3"
"AH20",18.54804058,-31.2663352,"site3"
"AH15",18.54807261,-31.26637085,"site3"
"AH10",18.54810464,-31.2664065,"site3"
"AH5",18.54813667,-31.26644215,"site3"
"AH0",18.5481687,-31.2664778,"site3"
"AI50",18.5478076,-31.2661492,"site3"
"AI45",18.54783962,-31.2661848,"site3"
"AI40",18.54787164,-31.2662204,"site3"
"AI35",18.54790366,-31.266256,"site3"
"AI30",18.54793568,-31.2662916,"site3"
"AI25",18.5479677,-31.2663272,"site3"
"AI20",18.54799972,-31.2663628,"site3"
"AI15",18.54803174,-31.2663984,"site3"
"AI10",18.54806376,-31.266434,"site3"
"AI5",18.54809578,-31.2664696,"site3"
"AI0",18.5481278,-31.2665052,"site3"
"AJ50",18.5477668,-31.2661771,"site3"
"AJ45",18.54779881,-31.26621265,"site3"
"AJ40",18.54783082,-31.2662482,"site3"
"AJ35",18.54786283,-31.26628375,"site3"
"AJ30",18.54789484,-31.2663193,"site3"
"AJ25",18.54792685,-31.26635485,"site3"
"AJ20",18.54795886,-31.2663904,"site3"
"AJ15",18.54799087,-31.26642595,"site3"
"AJ10",18.54802288,-31.2664615,"site3"
"AJ5",18.54805489,-31.26649705,"site3"
"AJ0",18.5480869,-31.2665326,"site3"
"AK50",18.547726,-31.266205,"site3"
"AK45",18.547758,-31.2662405,"site3"
"AK40",18.54779,-31.266276,"site3"
"AK35",18.547822,-31.2663115,"site3"
"AK30",18.547854,-31.266347,"site3"
"AK25",18.547886,-31.2663825,"site3"
"AK20",18.547918,-31.266418,"site3"
"AK15",18.54795,-31.2664535,"site3"
"AK10",18.547982,-31.266489,"site3"
"AK5",18.548014,-31.2665245,"site3"
"AK0",18.548046,-31.26656,"site3"
