"plot","lon","lat","elevation","slope","aspect","drainage"
"D10",18.54802788,-31.26507158,198.869831085205,0.0323731530712431,4.11070793579157,7.32113702994752e-10
"D15",18.54806987,-31.26509702,198.898326873779,0.0300800873547458,3.64437217722815,8.13459716253462e-11
"D20",18.54811186,-31.26512246,198.937522888184,0.0259643347679643,4.04650567240064,1.62691943250692e-10
"D25",18.54815385,-31.2651479,198.964691162109,0.0144743801932662,3.92566622711594,1.62691943250692e-10
"D30",18.54819584,-31.26517334,198.915306091309,0.0205058695670074,3.04339273923449,3.25383886501385e-10
"D35",18.54823783,-31.26519878,198.827590942383,0.0197519366647294,3.38812102088423,7.32113702994752e-10
"D40",18.54827982,-31.26522422,198.796585083008,0.0156898149328254,4.16032759497336,5.77556358294373e-09
"D45",18.54832181,-31.26524966,198.923145294189,0.0316735041030837,4.94931764697445,1.62691943250692e-10
"D50",18.5483638,-31.2652751,199.085388183594,0.0316567865455222,5.20815864326052,8.13459716253462e-11
"E0",18.5479132,-31.2650556,198.781688690186,0.0176570472699659,2.77506369893177,5.69421787499635e-10
"E5",18.54795522,-31.26508122,198.772151947021,0.0224798198298689,4.09033950121142,1.62691943250692e-10
"E10",18.54799724,-31.26510684,198.760883331299,0.0200845620852851,3.7712676390635,1.05749764500729e-09
"E15",18.54803926,-31.26513246,198.769538879395,0.0231070292741221,4.06284636835911,3.25383886501385e-10
"E20",18.54808128,-31.26515808,198.815254211426,0.0266284374354195,4.36619837681181,2.44037900998251e-10
"E25",18.5481233,-31.2651837,198.861145019531,0.018517176524792,3.8327469987235,4.88075801996501e-10
"E30",18.54816532,-31.26520932,198.824600219727,0.0259520913444121,3.50550969186458,1.22018950499125e-09
"E35",18.54820734,-31.26523494,198.800045013428,0.00677544156429052,2.97007795843141,8.13459716253462e-11
"E40",18.54824936,-31.26526056,198.76439666748,0.0111891092407073,4.59219957319119,1.70826530698776e-09
"E45",18.54829138,-31.26528618,198.811218261719,0.0178599570798842,4.38305421455338,8.13459688497886e-10
"E50",18.5483334,-31.2653118,198.926040649414,0.041430216035665,4.49068124490653,6.50767773002769e-10
"F0",18.5478825,-31.2650905,198.707355499268,0.0115691548221611,3.61721407189237,2.44037900998251e-10
"F5",18.54792455,-31.2651163,198.68811416626,0.0125997398668419,3.23403051290031,8.13459716253462e-11
